“Don't cry because it's over, smile because it happened.”	Dr. Seuss	
“Believe in Your Heart<br/><br/>Believe in your heart that you're meant to live a life full of passion, purpose, magic and miracles.”	Roy T. Bennett	The Light in the Heart
“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”	Roy T. Bennett	The Light in the Heart
“The optimist proclaims that we live in the best of all possible worlds; and the pessimist fears this is true.”	James Branch Cabell	The Silver Stallion
“Follow your heart, listen to your inner voice, stop caring about what others think.”	Roy T. Bennett	The Light in the Heart
“Be mindful. Be grateful. Be positive. Be true. Be kind.”	Roy T. Bennett	The Light in the Heart
“Take responsibility of your own happiness, never put it in other people’s hands.”	Roy T. Bennett	The Light in the Heart
“Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”	Roy T. Bennett	The Light in the Heart
“Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.”	Roy T. Bennett	The Light in the Heart
“Be grateful for what you already have while you pursue your goals. <br/>If you aren’t grateful for what you already have, what makes you think you would be happy with more.”	Roy T. Bennett	The Light in the Heart
“We can complain because rose bushes have thorns, or rejoice because thorns have roses.”	Alphonse Karr	A Tour Round My Garden
“As long as there was coffee in the world, how bad could things be?”	Cassandra Clare	City of Ashes
“Do what is right, not what is easy nor what is popular.”	Roy T. Bennett	The Light in the Heart
“Write it on your heart that every day is the best day in the year.”	Ralph Waldo Emerson	
“Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality — not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.”	Roy T. Bennett	
“Keep Going<br/><br/>Your hardest times often lead to the greatest moments of your life. Keep going. Tough situations build strong people in the end.”	Roy T. Bennett	The Light in the Heart
“Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind.”	Roy T. Bennett	The Light in the Heart
“Life becomes easier and more beautiful when we can see the good in other people.”	Roy T. Bennett	
“The past is a place of reference, not a place of residence; the past is a place of learning, not a place of living.”	Roy T. Bennett	The Light in the Heart
“Always find opportunities to make someone smile, and to offer random acts of kindness in everyday life.”	Roy T. Bennett	The Light in the Heart
“Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.”	Roy T. Bennett	The Light in the Heart
“Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.”	Roy T. Bennett	The Light in the Heart
“Make improvements, not excuses. Seek respect, not attention.”	Roy T. Bennett	The Light in the Heart
“Success is not how high you have climbed, but how you make a positive difference to the world.”	Roy T. Bennett	The Light in the Heart
“Be brave to stand for what you believe in even if you stand alone.”	Roy T. Bennett	The Light in the Heart
“Be thankful for everything that happens in your life; it’s all an experience.”	Roy T. Bennett	
“To shine your brightest light is to be who you truly are.”	Roy T. Bennett	
“Do not fear failure but rather fear not trying.”	Roy T. Bennett	The Light in the Heart
“I was blind and heart broken and didn't want to do anything and Gus burst into my room and shouted, "I have wonderful news!" And I was like, "I don't really want to hear wonderful news right now," and Gus said, "This is wonderful news you want to hear," and I asked him, "Fine, what is it?" and he said, "You are going to live a good and long life filled with great and terrible moments that you cannot even imagine yet!”	John Green	The Fault in Our Stars
“Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.”	Roy T. Bennett	
“If you believe very strongly in something, stand up and fight for it.”	Roy T. Bennett	The Light in the Heart
“Great things happen to those who don't stop believing, trying, learning, and being grateful.”	Roy T. Bennett	The Light in the Heart
“Stop comparing yourself to other people, just choose to be happy and live your own life.”	Roy T. Bennett	The Light in the Heart
“Listen with curiosity. Speak with honesty. Act with integrity. The greatest problem with communication is we don’t listen to understand. We listen to reply. When we listen with curiosity, we don’t listen with the intent to reply. We listen for what’s behind the words.”	Roy T. Bennett	The Light in the Heart
“The more you feed your mind with positive thoughts, the more you can attract great things into your life.”	Roy T. Bennett	The Light in the Heart
“Let the improvement of yourself keep you so busy that you have no time to criticize others.”	Roy T. Bennett	The Light in the Heart
“You'll never find a rainbow if you're looking down”	Charlie Chaplin	
“I am so far from being a pessimist...on the contrary, in spite of my scars, I am tickled to death at life.”	Eugene O'Neill	
“Pursue what catches your heart, not what catches your eyes.”	Roy T. Bennett	The Light in the Heart
“You are not rich until you have a rich heart.”	Roy T. Bennett	The Light in the Heart
“Surround Yourself with People Who Believe in Your Dreams:<br/>Surround yourself with people who believe in your dreams, encourage your ideas, support your ambitions, and bring out the best in you.”	Roy T. Bennett	The Light in the Heart
“When the going gets tough, put one foot in front of the other and just keep going. Don’t give up.”	Roy T. Bennett	The Light in the Heart
“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”	Roy T. Bennett	The Light in the Heart
“I am fundamentally an optimist. Whether that comes from nature or nurture, I cannot say. Part of being optimistic is keeping one's head pointed toward the sun, one's feet moving forward. There were many dark moments when my faith in humanity was sorely tested, but I would not and could not give myself up to despair. That way lays defeat and death.”	Nelson Mandela	Long Walk to Freedom: Autobiography of Nelson Mandela
“Do not set aside your happiness. Do not wait to be happy in the future. The best time to be happy is always now.”	Roy T. Bennett	
“Be Brave and Take Risks: You need to have faith in yourself. Be brave and take risks. You don't have to have it all figured out to move forward.”	Roy T. Bennett	The Light in the Heart
“Always remember people who have helped you along the way, and don’t forget to lift someone up.”	Roy T. Bennett	The Light in the Heart
“It's snowing still," said Eeyore gloomily.<br/>"So it is."<br/>"And freezing."<br/>"Is it?"<br/>"Yes," said Eeyore. "However," he said, brightening up a little, "we haven't had an earthquake lately.”	A.A. Milne	
“Happiness depends on your mindset and attitude.”	Roy T. Bennett	The Light in the Heart
“Do Not Lie to Yourself <br/><br/>We have to be honest about what we want and take risks rather than lie to ourselves and make excuses to stay in our comfort zone.”	Roy T. Bennett	The Light in the Heart
“Maturity is when you stop complaining and making excuses, and start making changes.”	Roy T. Bennett	The Light in the Heart
“Stop giving other people the power to control your happiness, your mind, and your life. If you don't take control of yourself and your own life, someone else is bound to try.”	Roy T. Bennett	The Light in the Heart
“Start each day with a positive thought and a grateful heart.”	Roy T. Bennett	The Light in the Heart
“Strong people have a strong sense of self-worth and self-awareness; they don’t need the approval of others.”	Roy T. Bennett	The Light in the Heart
“It’s your life; you don’t need someone’s permission to live the life you want. Be brave to live from your heart.”	Roy T. Bennett	The Light in the Heart
“Sometimes you have to lose all you have to find out who you truly are.”	Roy T. Bennett	The Light in the Heart
“Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.”	Roy T. Bennett	The Light in the Heart
“Focus on your strengths, not your weaknesses.<br/>Focus on your character, not your reputation.<br/>Focus on your blessings, not your misfortunes.”	Roy T. Bennett	The Light in the Heart
“You cannot control the behavior of others, but you can always choose how you respond to it.”	Roy T. Bennett	The Light in the Heart
“When you do the right thing, you get the feeling of peace and serenity associated with it. Do it again and again.”	Roy T. Bennett	
“TO BE HOPEFUL in bad times is not just foolishly romantic. It is based on the fact that human history is a history not only of cruelty, but also of compassion, sacrifice, courage, kindness.<br/>What we choose to emphasize in this complex history will determine our lives. If we see only the worst, it destroys our capacity to do something. If we remember those times and places—and there are so many—where people have behaved magnificently, this gives us the energy to act, and at least the possibility of sending this spinning top of a world in a different direction.<br/>And if we do act, in however small a way, we don’t have to wait for some grand utopian future. The future is an infinite succession of presents, and to live now as we think human beings should live, in defiance of all that is bad around us, is itself a marvelous victory.”	Howard Zinn	
“Never stop dreaming, <br/>never stop believing, <br/>never give up, <br/>never stop trying, and <br/>never stop learning.”	Roy T. Bennett	The Light in the Heart
“If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.”	Roy T. Bennett	The Light in the Heart
“Kindness is not a business. True kindness expects nothing in return and should never act with conditions.”	Roy T. Bennett	The Light in the Heart
“Believe in your infinite potential. Your only limitations are those you set upon yourself.”	Roy T. Bennett	The Light in the Heart
“Nothing can disturb your peace of mind unless you allow it to.”	Roy T. Bennett	The Light in the Heart
“Once you realize you deserve a bright future, letting go of your dark past is the best choice you will ever make.”	Roy T. Bennett	The Light in the Heart
“Never lose hope. Storms make people stronger and never last forever.”	Roy T. Bennett	The Light in the Heart
“Perfectionism is the enemy of happiness. Embrace being perfectly imperfect. Learn from your mistakes and forgive yourself, you’ll be happier. We make mistakes because we are imperfect. Learn from your mistakes, forgive yourself, and keep moving forward.”	Roy T. Bennett	The Light in the Heart
“It's never too late to change your life for the better. You don't have to take huge steps to change your life. Making even the smallest changes to your daily routine can make a big difference to your life.”	Roy T. Bennett	The Light in the Heart
“The strongest people find the courage and caring to help others, even if they are going through their own storm.”	Roy T. Bennett	The Light in the Heart
“Courage is feeling fear, not getting rid of fear, and taking action in the face of fear.”	Roy T. Bennett	The Light in the Heart
“Whenever something bad happens, keep calm, take a few deep breaths and shift the focus to something positive.”	Roy T. Bennett	
“Do what you love, love what you do, and with all your heart give yourself to it.”	Roy T. Bennett	The Light in the Heart
“Life has no remote....get up and change it yourself!”	Mark A. Cooper	(Edelweiss Pirates #1) ‘Operation Einstein'
“Smile more. Smiling can make you and others happy.”	Roy T. Bennett	The Light in the Heart
“For myself I am an optimist - it does not seem to be much use to be anything else.”	Winston S. Churchill	
“We’ll never survive!” <br/>“Nonsense. You’re only saying that because no one ever has.”	William Goldman	The Princess Bride
“You Are the Master of Your Attitude<br/><br/>You cannot control what happens to you, but you can control the way you think about all the events. You always have a choice. You can choose to face them with a positive mental attitude.”	Roy T. Bennett	The Light in the Heart
“Patience Is Not the Ability to Wait: <br/>Patience is not the ability to wait. Patience is to be calm no matter what happens, constantly take action to turn it to positive growth opportunities, and have faith to believe that it will all work out in the end while you are waiting.”	Roy T. Bennett	The Light in the Heart
“Live the Life of Your Dreams<br/>When you start living the life of your dreams, there will always be obstacles, doubters, mistakes and setbacks along the way. But with hard work, perseverance and self-belief there is no limit to what you can achieve.”	Roy T. Bennett	The Light in the Heart
“To have what you have never had, you have to do what you have never done.”	Roy T. Bennett	The Light in the Heart
“Sometimes all a person wants is an empathetic ear; all he or she needs is to talk it out. Just offering a listening ear and an understanding heart for his or her suffering can be a big comfort.”	Roy T. Bennett	
“What's done is done. What's gone is gone. One of life's lessons is always moving on. It’s okay to look back to see how far you’ve come but keep moving forward.”	Roy T. Bennett	The Light in the Heart
“You are in charge of your own happiness; you don't need to wait for other people's permission to be happy.”	Roy T. Bennett	The Light in the Heart
“In this hour, I do not believe that any darkness will endure.”	J.R.R. Tolkien	The Return of the King
“Being grateful does not mean that everything is necessarily good. It just means that you can accept it as a gift.”	Roy T. Bennett	
“Do not let arrogance go to your head and despair to your heart; do not let compliments go to your head and criticisms to your heart; do not let success go to your head and failure to your heart.”	Roy T. Bennett	The Light in the Heart
“The biggest wall you have to climb is the one you build in your mind: Never let your mind talk you out of your dreams, trick you into giving up. Never let your mind become the greatest obstacle to success. To get your mind on the right track, the rest will follow.”	Roy T. Bennett	The Light in the Heart
“Choose to be optimistic, it feels better.”	Dalai Lama XIV	
“Write it on your heart<br/>that every day is the best day in the year.<br/>He is rich who owns the day, and no one owns the day<br/>who allows it to be invaded with fret and anxiety.<br/><br/>Finish every day and be done with it.<br/>You have done what you could.<br/>Some blunders and absurdities, no doubt crept in.<br/>Forget them as soon as you can, tomorrow is a new day;<br/>begin it well and serenely, with too high a spirit<br/>to be cumbered with your old nonsense.<br/><br/>This new day is too dear,<br/>with its hopes and invitations,<br/>to waste a moment on the yesterdays.”	Ralph Waldo Emerson	Collected Poems and Translations
“Don’t let others tell you what you can’t do. Don't let the limitations of others limit your vision. If you can remove your self-doubt and believe in yourself, you can achieve what you never thought possible.”	Roy T. Bennett	The Light in the Heart
“Remember, you cannot be both young and wise. Young people who pretend to be wise to the ways of the world are mostly just cynics. Cynicism masquerades as wisdom, but it is the farthest thing from it. Because cynics don’t learn anything. Because cynicism is a self-imposed blindness, a rejection of the world because we are afraid it will hurt us or disappoint us. Cynics always say no. But saying “yes” begins things. Saying “yes” is how things grow. Saying “yes” leads to knowledge. “Yes” is for young people. So for as long as you have the strength to, say “yes'.”	Stephen Colbert	
“You are unique. You have different talents and abilities. You don’t have to always follow in the footsteps of others. And most important, you should always remind yourself that you don't have to do what everyone else is doing and have a responsibility to develop the talents you have been given.”	Roy T. Bennett	The Light in the Heart
“Great leaders create more leaders, not followers.”	Roy T. Bennett	The Light in the Heart
“Don't Just<br/><br/>Don't just learn, experience.<br/>Don't just read, absorb.<br/>Don't just change, transform.<br/>Don't just relate, advocate.<br/>Don't just promise, prove.<br/>Don't just criticize, encourage.<br/>Don't just think, ponder.<br/>Don't just take, give.<br/>Don't just see, feel.<br/>Don’t just dream, do. <br/>Don't just hear, listen.<br/>Don't just talk, act.<br/>Don't just tell, show.<br/>Don't just exist, live.”	Roy T. Bennett	The Light in the Heart
“A smile puts you on the right track. A smile makes the world a beautiful place. When you lose your smile, you lose your way in the chaos of life.”	Roy T. Bennett	The Light in the Heart
“Guard well your thoughts when alone and your words when accompanied.”	Roy T. Bennett	
“Everyone you meet is a part of your journey, but not all of them are meant to stay in your life. Some people are just passing through to bring you gifts; either they're blessings or lessons.”	Roy T. Bennett	The Light in the Heart
“A smart person knows how to talk. A wise person knows when to be silent.”	Roy T. Bennett	
“If you don’t give up on something you truly believe in, you will find a way.”	Roy T. Bennett	
“The longest way must have its close - the gloomiest night will wear on to a morning.”	Harriet Beecher Stowe	Uncle Tom's Cabin
“Be the positive impact on the lives of others.”	Roy T. Bennett	
“Look on the bright side," said Simon, "If they need a human sacrifice, you can always offer me. I'm not sure the rest of you qualify anyway.”	Cassandra Clare	City of Ashes
“Only those who attempt the absurd can achieve the impossible.”	Albert Einstein	
“Be of good cheer. Do not think of today's failures, but of the success that may come tomorrow. You have set yourselves a difficult task, but you will succeed if you persevere; and you will find a joy in overcoming obstacles. Remember, no effort that we make to attain something beautiful is ever lost.”	Helen Keller	
“Each day brings new opportunities, allowing you to constantly live with love—be there for others—bring a little light into someone's day. Be grateful and live each day to the fullest.”	Roy T. Bennett	The Light in the Heart
“Always have a willing hand to help someone, you might be the only one that does.”	Roy T. Bennett	The Light in the Heart
“The basis of optimism is sheer terror.”	Oscar Wilde	The Picture of Dorian Gray
“You cannot change anyone, but you can be the reason someone changes.”	Roy T. Bennett	The Light in the Heart
“I'd rather be partly great than entirely useless.”	Neal Shusterman	Unwind
“It's worth making time to find the things that really stir your soul. That’s what makes you really feel alive. You have to say ‘no’ to other things you’re used to, and do it with all your heart.”	Roy T. Bennett	
“I'm not much but I'm all I have.”	Philip K. Dick	Martian Time-Slip
“Some things cannot be taught; they must be experienced. You never learn the most valuable lessons in life until you go through your own journey.”	Roy T. Bennett	
“Count your blessings, not your problems. Count your own blessings, not someone else's. Remember that jealousy is when you count someone else's blessings instead of your own.”	Roy T. Bennett	The Light in the Heart
“Turn your obstacles into opportunities and your problems into possibilities.”	Roy T. Bennett	The Light in the Heart
“It takes sunshine and rain to make a rainbow. There would be no rainbows without sunshine and rain.”	Roy T. Bennett	The Light in the Heart
“Learning to distance yourself from all the negativity is one of the greatest lessons to achieve inner peace.”	Roy T. Bennett	The Light in the Heart
“It doesn’t matter how many times you get knocked down. All that matters is you get up one more time than you were knocked down.”	Roy T. Bennett	
“Focus on your goals, not your fear. <br/>Focus like a laser beam on your goals.”	Roy T. Bennett	The Light in the Heart
“When one has a grateful heart, life is so beautiful.”	Roy T. Bennett	The Light in the Heart
“Gratitude builds a bridge to abundance.”	Roy T. Bennett	The Light in the Heart
“It takes guts and humility to admit mistakes. Admitting we're wrong is courage, not weakness.”	Roy T. Bennett	The Light in the Heart
“Good things happen in your life when you surround yourself with positive people.”	Roy T. Bennett	The Light in the Heart
“It is difficult to live in and enjoy the moment when you are thinking about the past or worrying about the future. You cannot change your past, but you can ruin the present by worrying about your future. Learn from the past, plan for the future. The more you live in and enjoy the present moment, the happier you will be.”	Roy T. Bennett	The Light in the Heart
“there's no harm in hoping for the best as long as you're prepared for the worst.”	Stephen King	Different Seasons
“Discipline Your Mind to Think Positively: Discipline your mind to see the good in every situation and look on the best side of every event.”	Roy T. Bennett	The Light in the Heart
“You learn something valuable from all of the significant events and people, but you never touch your true potential until you challenge yourself to go beyond imposed limitations.”	Roy T. Bennett	
“Challenge and adversity are meant to help you know who you are. Storms hit your weakness, but unlock your true strength.”	Roy T. Bennett	The Light in the Heart
“What you stay focused on will grow.”	Roy T. Bennett	
“Most of us must learn to love people and use things rather than loving things and using people.”	Roy T. Bennett	The Light in the Heart
“Nothing makes a person happier than having a happy heart.”	Roy T. Bennett	
“When things do not go your way, remember that every challenge — every adversity — contains within it the seeds of opportunity and growth.”	Roy T. Bennett	
“Optimism is a strategy for making a better future. Because unless you believe that the future can be better, you are unlikely to step up and take responsibility for making it so.”	Noam Chomsky	
“We are not going to die." <br/><br/>Butters stared up at me, pale, his eyes terrified. "We're not?" <br/><br/>"No. And do you know why?" He shook his head. "Because Thomas is too pretty to die. And because I'm too stubborn to die." I hauled on the shirt even harder. "And most of all because tomorrow is Oktoberfest, Butters, and polka will never die.”	Jim Butcher	Dead Beat
“Stop doing what is easy. Start doing what is right.”	Roy T. Bennett	The Light in the Heart
“Enjoy every step you take. If you're curious, there is always something new to be discovered in the backdrop of your daily life.”	Roy T. Bennett	The Light in the Heart
“It is the possibility that keeps me going, and though you may call me a dreamer or a fool or any other thing, I believe that anything is possible.”	Nicholas Sparks	
“Don’t wait for things to happen. Make them happen.”	Roy T. Bennett	
“Never let hard lessons harden your heart; the hard lessons of life are meant to make you better, not bitter.”	Roy T. Bennett	The Light in the Heart
“The universe is a pretty big place. If it's just us, seems like an awful waste of space.”	Carl Sagan	Contact
“Everyone enjoys being acknowledged and appreciated. Sometimes even the simplest act of gratitude can change someone's entire day. Take the time to recognize and value the people around you and appreciate those who make a difference in your lives.”	Roy T. Bennett	
“Beliefs are choices. First you choose your beliefs. Then your beliefs affect your choices.”	Roy T. Bennett	
“Integrity is doing the right thing when nobody's watching, and doing as you say you would do.”	Roy T. Bennett	The Light in the Heart
“Failure is a bend in the road, not the end of the road. Learn from failure and keep moving forward.”	Roy T. Bennett	
“A pessimist is a man who thinks everybody is as nasty as himself, and hates them for it.”	George Bernard Shaw	
“To care about your outward appearance is important, but what’s more important is to have a beautiful soul.”	Roy T. Bennett	
“Don't wait for the right moment to start, start and make each moment right.”	Roy T. Bennett	The Light in the Heart
“You don’t have to like someone, but you have to treat them as you wish to be treated.”	Roy T. Bennett	The Light in the Heart
“Surround Yourself with Positive People Who Believe in Your Dreams<br/><br/>Distance yourself from negative people who try to lower your motivation and decrease your ambition. Create space for positive people to come into your life.<br/><br/>Surround yourself with positive people who believe in your dreams, encourage your ideas, support your ambitions, and bring out the best in you.”	Roy T. Bennett	The Light in the Heart
“Stop doing what is easy or popular. Start doing what is right.”	Roy T. Bennett	The Light in the Heart
“Do not let the roles you play in life make you forget who you are.”	Roy T. Bennett	
“It’s important that what thoughts you are feeding into your mind because your thoughts create your belief and experiences. You have positive thoughts and you have negative ones too. Nurture your mind with positive thoughts: kindness, empathy, compassion, peace, love, joy, humility, generosity, etc. The more you feed your mind with positive thoughts, the more you can attract great things into your life.”	Roy T. Bennett	The Light in the Heart
“Make the most of the best and the best of the worst, and keep your standards high. Never settle for anything less than you deserve or are capable of achieving.”	Roy T. Bennett	The Light in the Heart
“Good people see the good and bring out the best in other people.”	Roy T. Bennett	The Light in the Heart
“Changing your outside world cannot make you happy if you are an unhappy person. The real personal change can only happen from the inside out. If you firstly create the change within yourself, you can turn your life around.”	Roy T. Bennett	The Light in the Heart
“7 Effective Ways to Make Others Feel Important <br/><br/>1. Use their name.<br/>2. Express sincere gratitude.<br/>3. Do more listening than talking.<br/>4. Talk more about them than about you.<br/>5. Be authentically interested.<br/>6. Be sincere in your praise.<br/>7. Show you care.”	Roy T. Bennett	The Light in the Heart
“I meant to write about death, only life came breaking in as usual”	Virginia Woolf	
“Successful people have no fear of failure. But unsuccessful people do. Successful people have the resilience to face up to failure—learn the lessons and adapt from it.”	Roy T. Bennett	
“It doesn't matter how many people you meet in your life; you just need the real ones who accept you for who you are and help you become who you should be.”	Roy T. Bennett	The Light in the Heart
“Enthusiasm can help you find the new doors, but it takes passion to open them. If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.”	Roy T. Bennett	The Light in the Heart
“The comfort zone is a psychological state in which one feels familiar, safe, at ease, and secure. You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.”	Roy T. Bennett	
“Things are always better in the morning.”	Harper Lee	To Kill a Mockingbird
“Great leaders can see the greatness in others when they can’t see it themselves and lead them to their highest potential they don’t even know.”	Roy T. Bennett	The Light in the Heart
“To learn something new, you need to try new things and not be afraid to be wrong.”	Roy T. Bennett	
“I'm a pessimist because of intelligence, but an optimist because of will.”	Antonio Gramsci	Gramsci's Prison Letters
“Shine your light and make a positive impact on the world; there is nothing so honorable as helping improve the lives of others.”	Roy T. Bennett	
“Always believe in yourself and always stretch yourself beyond your limits. Your life is worth a lot more than you think because you are capable of accomplishing more than you know. You have more potential than you think, but you will never know your full potential unless you keep challenging yourself and pushing beyond your own self imposed limits.”	Roy T. Bennett	The Light in the Heart
“Associate Yourself with People Who Think Positively: <br/>Associate yourself with people who think positively. You cannot surround yourself with negative people and expect positive outcomes.”	Roy T. Bennett	The Light in the Heart
“Life is short. Focus on what really matters most. You have to change your priorities over time.”	Roy T. Bennett	The Light in the Heart
“Dream your own dreams, achieve your own goals. Your journey is your own and unique.”	Roy T. Bennett	The Light in the Heart
“You will never follow your own inner voice until you clear up the doubts in your mind.”	Roy T. Bennett	
“If you think this Universe is bad, you should see some of the others.”	Philip K. Dick	
“The one who falls and gets up is stronger than the one who never tried. Do not fear failure but rather fear not trying.”	Roy T. Bennett	The Light in the Heart
“Great Leaders Create More Leaders<br/><br/>Good leaders have vision and inspire others to help them turn vision into reality. Great leaders create more leaders, not followers. Great leaders have vision, share vision, and inspire others to create their own.”	Roy T. Bennett	The Light in the Heart
“By four o'clock, I've discounted suicide in favor of killing everyone else in the entire world instead.”	Warren Ellis	Transmetropolitan, Vol. 3: Year of the Bastard
“Consistency is the true foundation of trust. Either keep your promises or do not make them.”	Roy T. Bennett	
“Change may not always bring growth, but there is no growth without change.”	Roy T. Bennett	The Light in the Heart
“You were born to stand out, stop trying to fit in.”	Roy T. Bennett	The Light in the Heart
“Let go of something old that no longer serves you in order to make room for something new.”	Roy T. Bennett	The Light in the Heart
“What other people think and say about you is none of your business. The most destructive thing you would ever do is to believe someone else's opinion of you. You have to stop letting other people's opinions control you.”	Roy T. Bennett	The Light in the Heart
“When you take control of your attitude, you take control of your life.”	Roy T. Bennett	The Light in the Heart
“Difficulties and adversities viciously force all their might on us and cause us to fall apart, but they are necessary elements of individual growth and reveal our true potential. We have got to endure and overcome them, and move forward. Never lose hope. Storms make people stronger and never last forever.”	Roy T. Bennett	The Light in the Heart
“No one has ever achieved greatness without dreams.”	Roy T. Bennett	The Light in the Heart
“Push your boundaries beyond the ordinary; be that “extra” in “extraordinary.”	Roy T. Bennett	The Light in the Heart
“Every choice comes with a consequence. Once you make a choice, you must accept responsibility. You cannot escape the consequences of your choices, whether you like them or not.”	Roy T. Bennett	The Light in the Heart
“How much you can learn when you fail determines how far you will go into achieving your goals.”	Roy T. Bennett	The Light in the Heart
“Stay strong, stay positive, and never give up.”	Roy T. Bennett	The Light in the Heart
“Fear robs you of your freedom to make the right choice in life that can bridge the gap between where you are and where you want to be. On the other side of fear, lies freedom. If you want to grow, you need to be brave and take risks. If you're not uncomfortable, you're not growing.”	Roy T. Bennett	The Light in the Heart
“Pessimists are usually right and optimists are usually wrong but all the great changes have been accomplished by optimists.”	Thomas L. Friedman	
“Change course, but don’t give up.”	Roy T. Bennett	The Light in the Heart
“You can have everything you want if you can put your heart and soul into everything you do.”	Roy T. Bennett	
“Optimism," said Cacambo, "What is that?" "Alas!" replied Candide, "It is the obstinacy of maintaining that everything is best when it is worst.”	Voltaire	Candide
“When you lose your smile, you lose your way in the chaos of life.”	Roy T. Bennett	
“Another world is not only possible, she is on her way. On a quiet day, I can hear her breathing.”	Arundhati Roy	
“You were not born on earth to please anyone; you have to live life to express yourself, not to impress someone. Don't pretend to be someone you're not, and never lose yourself in search of other people's acceptance and approval.”	Roy T. Bennett	The Light in the Heart
“If you care about something enough, you'll find a way to make it happen.”	Roy T. Bennett	
“No matter how much experience you have, there’s always something new you can learn and room for improvement.”	Roy T. Bennett	The Light in the Heart
“Do not let your negative thoughts have power over you because those thoughts will end up controlling your life. No one can live a positive life with a negative mind.”	Roy T. Bennett	The Light in the Heart
“Be an Encourager: When you encourage others, you boost their self-esteem, enhance their self-confidence, make them work harder, lift their spirits and make them successful in their endeavors. Encouragement goes straight to the heart and is always available. Be an encourager. Always.”	Roy T. Bennett	The Light in the Heart
“Life teaches us the right path is rarely the easy one.”	Roy T. Bennett	The Light in the Heart
